store_name,#맛집,#가성비,#양푸짐,#디저트맛집,#분위기깡패,#뷰맛집,#야경명소,#사진명소,#힙한,#조용한,#레트로,#주차편함,#대중교통편리,#넓은공간,#청결한,#친절해요,#웨이팅필수,#혼자가기좋은,#직원친절,#무료입장,#데이트코스,#가족과함께,#아이와함께,#반려동물동반,#친구랑,#힐링산책,#빵지순례,#실내데이트,#이색체험,#카공하기좋은
동문시장,0.5293897,0.07385807,0.03663922,0.05555484,0.043037817,0.064207606,0.04268593,0.033025965,0.025458144,0.02474291,0.019615795,0.03875624,0.044776835,0.04175138,0.060860008,0.108475804,0.03637888,0.019597659,0.110178955,0.018712346,0.02863673,0.02563015,0.056860976,0.016179023,0.032661185,0.028413171,0.053618252,0.1063684,0.049880266,0.011401964
두물머리,0.14048094,0.044863082,0.030316254,0.1211485,0.11717267,0.33444533,0.04995327,0.09089806,0.026482286,0.04814345,0.03893664,0.10017572,0.06298356,0.05384705,0.05043889,0.042318933,0.045878313,0.021818858,0.040595725,0.054783467,0.032181174,0.04083404,0.066574626,0.022824092,0.03485356,0.32069594,0.034497127,0.13105564,0.08908964,0.2377017
롯데월드 어드벤처,0.12601498,0.067594655,0.031638637,0.048633322,0.060212217,0.06950524,0.065870404,0.07733643,0.02571281,0.03378157,0.057024807,0.058527514,0.06410816,0.046113275,0.046127114,0.08128864,0.11978345,0.025351427,0.06949885,0.034305815,0.035650413,0.049146432,0.26718822,0.01969609,0.071613,0.050323162,0.03413102,0.12791659,0.105563775,0.02083724
만천하스카이워크,0.056369685,0.06447579,0.023909768,0.04289853,0.080305316,0.26977986,0.05237313,0.08066062,0.020174297,0.031855963,0.052445166,0.11530567,0.11586744,0.041383777,0.04564378,0.077665545,0.07018421,0.01961895,0.069042735,0.07328562,0.026191873,0.058027696,0.07880475,0.016680563,0.024879409,0.09991062,0.024107618,0.13614084,0.09702654,0.045606405
목포해상케이블카 북항승강장,0.08843704,0.073174775,0.033365346,0.060362466,0.089186005,0.43792424,0.11131324,0.08161048,0.027807333,0.046607547,0.06860358,0.06655147,0.08179815,0.048741467,0.058117487,0.07796811,0.13097924,0.025519826,0.06415478,0.058412865,0.035848632,0.1231096,0.08359151,0.026347918,0.042971645,0.22034714,0.030468957,0.17395444,0.12923235,0.13730785
바람의언덕,0.08675269,0.0415856,0.029004687,0.06755488,0.11671338,0.29318327,0.036610615,0.11724762,0.021574818,0.03948388,0.037469845,0.09627605,0.05727151,0.050500695,0.05349041,0.0414361,0.045880783,0.01900529,0.03916234,0.05134573,0.026682068,0.042786676,0.049595717,0.018284181,0.031516,0.40700635,0.025705535,0.19401303,0.09058704,0.1347695
법주사,0.039882462,0.055829152,0.018786227,0.029164566,0.07906152,0.22053374,0.033722747,0.040202383,0.015075859,0.02593755,0.031552244,0.07171311,0.044178873,0.034838997,0.040009104,0.041809317,0.03058141,0.013534996,0.037425674,0.0712787,0.01919241,0.037340485,0.043462,0.013507804,0.019680394,0.17197597,0.017062927,0.11881681,0.06550632,0.09914697
부산엑스더스카이,0.112876296,0.13064602,0.03619562,0.09549825,0.09473243,0.38478184,0.16179894,0.12752551,0.029814817,0.04220951,0.06201425,0.07543674,0.08835294,0.04883145,0.06775204,0.089106135,0.101677366,0.027230972,0.07734971,0.085945554,0.047625512,0.120812386,0.13041006,0.028642958,0.0515769,0.049276743,0.03577968,0.16446966,0.16282183,0.041114565
부소산성,0.028169187,0.032500587,0.018068807,0.024377394,0.06544225,0.36848268,0.034451704,0.032613132,0.017198553,0.031528085,0.053940985,0.047455333,0.062071368,0.035213135,0.056198888,0.03635808,0.029974073,0.015158531,0.030298349,0.073076606,0.019141203,0.039228126,0.04488552,0.014092396,0.015588708,0.27157754,0.015637454,0.10374292,0.07038605,0.1990525
북촌 한옥마을,0.08347441,0.029770803,0.022722071,0.04995514,0.14434198,0.15208767,0.0445951,0.10167847,0.020093316,0.03559587,0.06898218,0.035129488,0.07399139,0.03835208,0.047720682,0.049700204,0.036498874,0.018315412,0.045026824,0.027492955,0.028646208,0.027948465,0.055168245,0.016807623,0.036333658,0.11757333,0.021676611,0.07629388,0.1188653,0.07188834
불국사,0.06419121,0.0453845,0.023439322,0.040783215,0.09834291,0.15056837,0.039355483,0.067498885,0.01979921,0.032078616,0.08872142,0.110879414,0.088268355,0.0513559,0.053239934,0.04398328,0.042390313,0.01922693,0.03904019,0.061734177,0.024734812,0.053448156,0.070449844,0.015591361,0.029189985,0.13705489,0.02294921,0.12279062,0.10484631,0.062272716
비자림,0.051591348,0.03682469,0.027877726,0.038139515,0.09976303,0.4052474,0.040464323,0.059074692,0.025678284,0.048494473,0.03817846,0.055926546,0.052483696,0.05705133,0.07377713,0.04983481,0.040490784,0.021638341,0.039461225,0.058296114,0.02586621,0.06350568,0.06456322,0.022088833,0.028666137,0.5657359,0.023746118,0.16236658,0.057854373,0.35607406
삼척해양레일바이크 궁촌정거장,0.056005046,0.037338663,0.018509138,0.027283499,0.04014545,0.19176918,0.036580916,0.03927128,0.014489838,0.020630976,0.038798634,0.028423907,0.04781606,0.027530298,0.041907948,0.06565794,0.04695778,0.014370258,0.059255384,0.027376004,0.018539196,0.051174477,0.085674815,0.01183525,0.021006193,0.063030586,0.017515276,0.11966944,0.065246515,0.022618126
서울랜드,0.1397596,0.09453282,0.036708735,0.06648417,0.09288331,0.10873222,0.0771867,0.06234719,0.029721593,0.038072012,0.055808667,0.093569554,0.06715376,0.061942123,0.06465206,0.09018811,0.1058627,0.026622316,0.08173327,0.055523302,0.03916679,0.07595159,0.2979296,0.021932293,0.050238144,0.08394425,0.035758875,0.1293285,0.15667577,0.03538364
서울스카이,0.1087334,0.10688367,0.035360545,0.078073636,0.12488465,0.21988404,0.16147365,0.14415798,0.029099511,0.041435324,0.0569039,0.058112986,0.07376238,0.047854204,0.06343374,0.07745906,0.12210514,0.027665164,0.061856255,0.056280114,0.04577784,0.1370677,0.1523129,0.027226843,0.05371868,0.06146228,0.033741213,0.1312003,0.1562156,0.036599707
서울식물원,0.067952886,0.07339336,0.034555845,0.0711427,0.14505363,0.2235861,0.05545105,0.098131835,0.027128713,0.043073703,0.04073655,0.12224206,0.06332787,0.07371481,0.088166356,0.04071892,0.05888773,0.023765232,0.033858955,0.079859234,0.04267072,0.09765356,0.08758954,0.024271801,0.037622355,0.24548656,0.029666418,0.17623152,0.21650642,0.18265125
서피비치,0.15301962,0.06346767,0.03641293,0.08296288,0.12835445,0.13805176,0.050686814,0.05923367,0.030351158,0.036384847,0.054621115,0.038564913,0.064286746,0.05331077,0.07472071,0.29296386,0.06692667,0.031066345,0.27597913,0.030578446,0.036086068,0.04536591,0.09103319,0.023066116,0.056130923,0.056925163,0.03910951,0.12252982,0.0627581,0.029251553
석굴암,0.057251137,0.053353652,0.02277179,0.036767464,0.076649375,0.21008317,0.03875884,0.13592681,0.018787334,0.032240126,0.065228835,0.11298528,0.07909142,0.046590034,0.047808062,0.04408643,0.047110863,0.018062195,0.036323126,0.0681995,0.022795627,0.045126956,0.082350396,0.014918435,0.023108823,0.14904873,0.020478,0.12003546,0.0863952,0.08771447
석촌호수,0.07894992,0.034027606,0.03262862,0.055730216,0.21404158,0.37920183,0.13934782,0.110421024,0.029564975,0.058614716,0.048860837,0.04353799,0.07800961,0.0538348,0.050249774,0.027470961,0.059938878,0.02647188,0.02269576,0.04360312,0.043299567,0.04962775,0.05186189,0.029671406,0.040402036,0.39872137,0.029087463,0.122161925,0.15784663,0.318703
설악케이블카,0.064099915,0.06312946,0.022361014,0.037455115,0.051825188,0.3193842,0.03686144,0.049675565,0.01753004,0.028658688,0.03861507,0.08080889,0.057822425,0.03483344,0.038399074,0.05479352,0.08606659,0.015536087,0.046824034,0.03795909,0.020452037,0.067589164,0.063515574,0.01488285,0.023678273,0.13758224,0.022100313,0.12819952,0.08436875,0.046787757
섭지코지,0.06699958,0.04446063,0.022884479,0.037291057,0.095614344,0.36105946,0.04052843,0.09962764,0.019662827,0.035989612,0.027306223,0.08943644,0.04607972,0.0464884,0.053424653,0.029598828,0.03320658,0.015692173,0.025860991,0.04789293,0.021177629,0.03278462,0.053949356,0.016027804,0.01968613,0.3388029,0.019251298,0.119595274,0.07666941,0.22704649
성산일출봉,0.051807966,0.031167952,0.017544027,0.026929365,0.06880303,0.4631151,0.053438276,0.06853269,0.014059708,0.026752766,0.035879515,0.05271039,0.057529535,0.034069307,0.04662981,0.027315645,0.037128426,0.015106709,0.02302935,0.11249505,0.021579687,0.043749094,0.0531589,0.014176895,0.021655265,0.15680918,0.015485122,0.113721855,0.05288138,0.079158336
성심당 본점,0.6873803,0.17381443,0.0888142,0.28639206,0.081298254,0.12720357,0.10303705,0.083318636,0.065819435,0.077364385,0.05789738,0.13047041,0.16445413,0.08084903,0.06538993,0.1754656,0.2256498,0.05663369,0.18507177,0.047184374,0.06707784,0.048924565,0.060359742,0.04767061,0.07425575,0.06275117,0.26947755,0.15104365,0.06571124,0.03107106
속초해수욕장,0.08870236,0.041907065,0.027622351,0.04876338,0.11680955,0.42696598,0.08232394,0.10496445,0.022421917,0.038042862,0.040191352,0.10679825,0.06831704,0.06261195,0.09660548,0.040168367,0.044938333,0.020898314,0.03467673,0.041932754,0.029258016,0.058320858,0.109408535,0.019184168,0.02879611,0.19500424,0.023783416,0.15682061,0.06546853,0.12575026
송도 센트럴파크,0.086955234,0.030317407,0.02284319,0.05574878,0.08883725,0.23478517,0.063703,0.042273313,0.020695563,0.033716783,0.02525401,0.048230257,0.039473414,0.04434141,0.061277054,0.06391181,0.02976671,0.017220583,0.060501494,0.03309797,0.023975143,0.03265764,0.040027943,0.018305918,0.022195958,0.24579157,0.023375873,0.079683,0.0679916,0.1951242
순천 낙안읍성,0.08021062,0.055251427,0.02993254,0.044359434,0.10886679,0.1920875,0.04882139,0.08920934,0.027140478,0.041203503,0.09270194,0.052299827,0.08194839,0.06294801,0.0718944,0.055304397,0.049582906,0.02231182,0.051276624,0.06091134,0.034843408,0.05916017,0.16667478,0.020375894,0.033954747,0.1721007,0.023909759,0.10194382,0.28969103,0.12014714
순천드라마촬영장,0.043549154,0.05280915,0.020641638,0.034685474,0.0621292,0.07759071,0.04078528,0.12324477,0.019601159,0.027396765,0.12064394,0.0465317,0.07240236,0.043714188,0.061747517,0.049885705,0.036959052,0.019704504,0.041364476,0.056171633,0.028970664,0.0721397,0.10176327,0.015840998,0.03508416,0.05560069,0.018166615,0.0923209,0.19846165,0.04196624
아침고요수목원,0.073608615,0.057520695,0.038328554,0.07576185,0.24448378,0.27688882,0.09517737,0.17492613,0.032455284,0.054153007,0.057883643,0.07848853,0.06815751,0.07810767,0.09710829,0.047316555,0.06544022,0.029405016,0.038432322,0.061642833,0.046442185,0.1278882,0.12538518,0.030318258,0.05020371,0.30309972,0.031151848,0.15696369,0.18900347,0.20955865
안동하회마을,0.061842635,0.049082175,0.031162119,0.061135285,0.1265472,0.2670619,0.055344127,0.0961264,0.027740452,0.047632106,0.102690786,0.09985769,0.12278454,0.068702474,0.073013924,0.06049882,0.066265,0.025691358,0.054591894,0.080978066,0.03558167,0.064132035,0.099628136,0.02283859,0.03649127,0.22970052,0.027384026,0.12577304,0.2653503,0.1450524
에버랜드,0.0987856,0.085555285,0.033289667,0.0477864,0.07675627,0.094207324,0.06845661,0.07726013,0.02808523,0.037141863,0.07263805,0.061979245,0.08007672,0.051161382,0.057724398,0.089405,0.12931854,0.026132423,0.077316314,0.044892505,0.03780105,0.078086905,0.26246876,0.022077715,0.0548725,0.07685393,0.032124195,0.12990068,0.14080173,0.029823458
여수해상케이블카,0.08830232,0.06793464,0.031060055,0.05647783,0.12776814,0.3476069,0.22652487,0.087374434,0.026188375,0.04216194,0.06371992,0.069566846,0.085578345,0.043553118,0.050798524,0.07312484,0.118335396,0.025756609,0.059510197,0.048401006,0.038973883,0.099749364,0.09356108,0.025884707,0.0504779,0.116826154,0.029695688,0.13551447,0.1024966,0.051921543
여의도 한강공원,0.08457231,0.048788156,0.03169192,0.046210393,0.12421593,0.42775863,0.09152298,0.058192372,0.026521632,0.04465655,0.05088372,0.051156376,0.07255087,0.058983598,0.07634703,0.07989739,0.056566272,0.024744254,0.0728654,0.03986837,0.03677476,0.046498608,0.059913244,0.024558956,0.04969679,0.36291942,0.026749477,0.13725132,0.094987094,0.19008839
오동도,0.045503132,0.034180276,0.021499828,0.035958577,0.11159674,0.2987345,0.052054584,0.06388384,0.018545821,0.034739528,0.03047664,0.068833545,0.045358837,0.039764702,0.0465855,0.028464755,0.0367219,0.01570327,0.025023727,0.0435562,0.023354657,0.045346513,0.04550933,0.016436847,0.022337157,0.28545454,0.018406596,0.10983287,0.084364854,0.19607274
외도 보타니아,0.16818608,0.06548111,0.029051611,0.16204661,0.108082235,0.18569128,0.042267445,0.08137142,0.021770108,0.033425465,0.037476756,0.037745096,0.053333614,0.037177663,0.054065377,0.049802642,0.051280998,0.0184809,0.047868557,0.02966583,0.027989902,0.0592271,0.061257917,0.019452274,0.034937512,0.12475724,0.039655197,0.1332807,0.08433637,0.064182624
